1,0,1848,600,196,136,1,-1,-1,-1
1,1,1340,624,184,120,1,-1,-1,-1
1,2,248,564,348,188,1,-1,-1,-1
1,3,0,800,132,196,1,-1,-1,-1
1,4,2028,592,208,148,1,-1,-1,-1
1,5,220,820,316,200,1,-1,-1,-1
1,6,1700,616,132,100,1,-1,-1,-1
1,7,648,596,252,144,1,-1,-1,-1
1,8,960,572,272,168,1,-1,-1,-1
1,9,1516,592,212,144,1,-1,-1,-1
1,10,0,580,112,180,1,-1,-1,-1
2,0,1849,600,196,136,1,-1,-1,-1
2,1,1343,624,184,120,1,-1,-1,-1
2,2,251,564,348,188,1,-1,-1,-1
2,3,0,800,131,196,1,-1,-1,-1
2,4,2030,592,208,148,1,-1,-1,-1
2,5,220,820,316,200,1,-1,-1,-1
2,6,1701,615,132,100,1,-1,-1,-1
2,7,651,596,252,144,1,-1,-1,-1
2,8,962,573,272,168,1,-1,-1,-1
2,9,1518,591,212,144,1,-1,-1,-1
2,10,2,580,112,180,1,-1,-1,-1
3,0,1851,599,196,136,1,-1,-1,-1
3,1,1347,622,184,120,1,-1,-1,-1
3,2,256,564,348,188,1,-1,-1,-1
3,3,0,799,130,196,1,-1,-1,-1
3,4,2032,591,208,148,1,-1,-1,-1
3,5,218,820,316,200,1,-1,-1,-1
3,6,1704,614,132,100,1,-1,-1,-1
3,7,654,596,252,144,1,-1,-1,-1
3,8,966,572,272,168,1,-1,-1,-1
3,9,1521,590,212,144,1,-1,-1,-1
3,10,2,579,112,180,1,-1,-1,-1
4,0,1854,598,196,136,1,-1,-1,-1
4,1,1352,622,184,120,1,-1,-1,-1
4,2,259,565,348,188,1,-1,-1,-1
4,3,0,799,130,196,1,-1,-1,-1
4,4,2033,592,208,148,1,-1,-1,-1
4,5,219,821,316,200,1,-1,-1,-1
4,6,1706,614,132,100,1,-1,-1,-1
4,7,657,596,252,144,1,-1,-1,-1
4,8,969,571,272,168,1,-1,-1,-1
4,9,1524,590,212,144,1,-1,-1,-1
4,10,1,578,112,180,1,-1,-1,-1
5,0,1856,598,196,136,1,-1,-1,-1
5,1,1357,622,184,120,1,-1,-1,-1
5,2,263,565,348,188,1,-1,-1,-1
5,3,0,799,130,196,1,-1,-1,-1
5,4,2036,591,208,148,1,-1,-1,-1
5,5,219,821,316,200,1,-1,-1,-1
5,6,1709,613,132,100,1,-1,-1,-1
